13
268 20
269 75 62
270 43 70
271 72 58
272 97 14
273 9 92
274 44 99
275 31 52
276 43 19
277 22 94
278 84 51
279 20 85
280 89 69
281 41 58
282 38 62
283 32 19
284 1 1
285 61 49
286 3 56
287 17 19
288 42 96
289 25
290 44 26
291 48 65
292 35 64
293 64 71
294 84 34
295 38 70
296 11 89
297 46 99
298 42 5
299 88 2
300 32 33
301 46 34
302 27 76
303 61 71
304 29 25
305 89 13
306 79 51
307 9 40
308 93 87
309 11 10
310 86 82
311 7 17
312 67 9
313 46 26
314 30 48
315 10
316 0 0
317 1 1
318 2 2
319 3 3
320 0 3
321 3 0
322 -10 -10
323 10 -10
324 10 10
325 -10 10
326 6
327 0 0
328 1 1
329 2 2
330 3 3
331 0 3
332 3 0
333 9
334 1 2
335 2 1
336 4 1
337 4 3
338 6 2
339 6 4
340 4 5
341 1 5
342 2 3
343 4
344 0 0
345 2 2
346 1 1
347 3 3
348 16
349 -10000 -10000
350 -10000  10000
351  10000 -10000
352  10000  10000
353      0  -1000
354      0   1000
355  -1000      0
356   1000      0
357   -100   -100
358   -100    100
359    100   -100
360    100    100
361      0    -10
362      0     10
363    -10      0
364     10      0
365 
366 4
367 0 0
368 2 0
369 0 1
370 1 0
371 6
372 1 0
373 2 0
374 3 0
375 1 1
376 2 1
377 3 1
378 5
379 0 0
380 10 0
381 10 5
382 5 -1
383 0 5
384 9
385 0 500
386 -500 0
387 500 0
388 250 249
389 -250 249
390 0 1
391 10 100
392 -10 100
393 0 110
394 6
395 0 1
396 0 2
397 0 3
398 -250 0
399 250 0
400 0 500
401 6
402 -249 1
403 -248 2
404 -247 3
405 -250 0
406 250 0
407 0 500
