125

11 7
10 8 28
8 10 -27
10 7 -2
1 3 0
2 1 18
10 5 6
8 9 5

21 32
20 7 -14
16 0 -9
10 14 0
6 10 -1
1 20 -11
17 15 -31
11 5 1
20 18 17
6 19 21
5 1 8
5 6 15
20 5 -3
6 7 24
17 0 0
18 0 15
7 20 -14
18 4 4
0 10 28
15 3 25
0 12 25
18 6 -27
5 14 -11
4 0 -10
4 12 15
6 1 6
4 6 22
12 19 -28
16 7 14
9 0 -9
16 1 1
8 11 -2
13 1 5

33 8
23 16 -7
4 9 -5
8 7 21
25 22 -1
7 28 -5
27 3 -29
7 19 18
32 5 -23

32 25
6 14 31
25 27 -15
9 1 -19
7 24 31
19 3 17
2 5 2
30 25 -14
10 28 5
4 16 -11
6 30 27
9 15 0
0 16 26
11 19 25
28 14 -15
3 26 9
14 13 -30
23 19 8
3 29 -16
17 12 19
13 17 16
10 24 29
14 6 13
23 17 -9
25 5 -5
3 16 -23

15 8
9 8 16
9 7 -32
8 13 -20
4 9 -3
12 9 2
13 4 27
11 3 22
14 5 5

2 2
0 1 -16
1 0 -2

13 17
0 2 -13
9 7 1
5 7 23
4 2 20
3 9 -9
0 1 -9
10 8 15
7 5 14
2 9 -14
5 0 -25
9 12 -8
11 0 -19
8 3 -26
5 8 6
12 2 -3
6 8 -24
5 10 23

6 1
3 2 30

2 2
0 1 25
1 0 5

20 29
0 5 0
0 4 -21
5 6 -8
18 13 9
7 3 5
15 9 -18
13 12 25
1 11 5
5 1 19
18 6 -25
11 15 22
11 1 25
7 10 5
0 14 -31
10 13 -1
8 12 -4
12 11 -18
6 16 -11
7 6 -26
9 12 -13
1 0 25
2 7 -16
12 18 -17
17 6 3
17 9 12
17 3 -12
15 4 -26
5 16 -30
11 18 -14

11 11
9 2 -29
2 3 -5
5 7 8
7 2 12
2 5 -27
4 8 -9
4 6 -19
3 6 -9
2 6 -26
2 10 2
10 1 8

3 2
0 2 -7
2 0 -2

25 8
18 6 -10
17 1 9
3 9 14
20 11 -19
10 4 6
16 5 -12
24 16 1
20 21 -27

22 9
14 18 24
21 12 10
12 3 -24
14 16 22
20 4 12
21 11 29
16 0 -3
11 6 -27
9 4 -5

18 6
14 0 -14
16 4 -32
12 4 -26
9 12 -26
3 17 -4
0 17 -16

28 32
6 8 12
18 16 21
9 8 -24
24 27 5
10 1 26
27 16 7
8 18 26
21 14 -1
12 0 -21
20 2 6
22 13 12
5 18 9
11 27 8
27 11 23
18 7 0
0 23 -16
3 12 19
5 3 -14
22 10 -1
14 22 1
16 27 3
15 21 -24
8 22 25
17 6 -5
27 10 25
24 5 12
27 3 -3
6 13 22
18 6 -28
4 17 -11
10 12 -7
25 27 -17

3 1
0 1 9

3 2
2 0 -7
2 1 3

21 8
20 6 -24
13 15 -7
18 11 27
4 13 31
10 14 6
12 4 -32
3 13 16
15 5 6

24 14
19 14 8
8 3 13
4 17 -29
7 1 26
2 20 -9
19 6 -2
12 11 29
2 10 -24
17 14 -24
14 17 -9
18 10 19
13 1 -5
18 16 10
1 14 29

27 22
0 23 -27
12 25 -19
13 3 14
22 1 6
22 21 -14
21 3 -23
26 13 -31
24 20 -32
14 24 24
0 26 -12
12 14 0
9 7 -6
7 4 5
10 17 -13
12 10 14
2 9 3
22 16 -13
24 22 9
0 9 -5
26 9 -21
26 22 24
22 9 10

30 32
23 17 -24
10 6 3
0 21 -5
14 12 -28
6 27 26
19 3 30
10 17 20
9 13 2
18 24 3
24 29 -17
5 17 19
16 11 26
0 14 -30
26 19 6
6 28 26
12 7 18
17 1 -27
26 12 6
24 23 -4
4 2 4
0 26 -5
21 18 -20
20 19 -8
24 3 17
16 26 -22
24 7 -8
18 20 -11
11 26 -27
20 27 4
23 29 -18
8 14 -5
3 20 14

27 19
14 1 -16
26 13 -4
9 25 1
6 26 -24
23 21 -28
20 11 -27
2 14 -9
17 3 -25
1 4 13
20 0 -26
15 2 -31
2 10 22
10 14 30
11 3 -21
12 13 -16
14 2 -14
10 4 -25
26 4 13
6 3 14

2 2
0 1 30
1 0 30

29 16
13 22 28
15 19 29
5 26 23
10 24 -1
5 10 27
12 14 31
11 15 -4
16 7 13
4 0 20
22 19 18
7 27 -17
28 10 -15
8 25 -25
9 20 -9
20 12 -31
27 28 2

7 8
4 0 -24
4 1 17
1 0 14
1 3 -32
1 2 -9
4 5 0
5 4 13
0 5 -23

2 2
1 0 -3
0 1 -30

2 2
0 1 -7
1 0 -9

17 15
14 13 18
14 5 -25
11 16 11
14 16 -2
1 8 21
16 2 15
14 1 14
5 7 5
11 12 -7
8 6 -27
11 2 -10
0 8 -24
16 10 21
9 7 -25
10 14 25

20 15
6 16 14
17 2 -31
1 0 21
5 13 23
7 14 3
8 11 -4
18 16 7
5 8 -15
15 12 -23
18 5 26
11 19 -21
10 17 11
6 17 -2
18 15 -29
15 17 -15

27 1
5 13 18

11 9
2 7 -2
10 6 -8
9 0 -2
5 0 27
6 5 -14
6 10 30
8 10 -20
8 2 -17
1 9 17

10 1
7 2 -24

12 30
0 5 -9
5 7 -8
10 6 -22
